"Date","Value"
"06/04/1964",0.0812
"06/05/1964",0.0807
"06/08/1964",0.0807
"06/09/1964",0.0807
"06/10/1964",0.0806
"06/11/1964",0.0803
"06/12/1964",0.0793
"06/15/1964",0.0788
"06/16/1964",0.08
"06/17/1964",0.0798
"06/18/1964",0.0797
"06/19/1964",0.0794
"06/22/1964",0.0792
"06/23/1964",0.0791
"06/24/1964",0.0786
"06/25/1964",0.0787
"06/26/1964",0.0789
"06/29/1964",0.0794
"06/30/1964",0.0793
"07/01/1964",0.0804
"07/02/1964",0.0801
"07/06/1964",0.0802
"07/07/1964",0.0802
"07/08/1964",0.0807
"07/09/1964",0.0817
"07/10/1964",0.0816
"07/13/1964",0.0826
"07/14/1964",0.0833
"07/15/1964",0.083
"07/16/1964",0.0833
"07/17/1964",0.0843
"07/20/1964",0.0837
"07/21/1964",0.084
"07/22/1964",0.0845
"07/23/1964",0.0841
"07/24/1964",0.084
"07/27/1964",0.0844
"07/28/1964",0.0847
"07/29/1964",0.0854
"07/30/1964",0.085
"07/31/1964",0.0845
"08/03/1964",0.085
"08/04/1964",0.0848
"08/05/1964",0.0863
"08/06/1964",0.0857
"08/07/1964",0.0871
"08/10/1964",0.0862
"08/11/1964",0.0858
"08/12/1964",0.0864
"08/13/1964",0.0863
"08/14/1964",0.0857
"08/17/1964",0.0864
"08/18/1964",0.0865
"08/19/1964",0.0856
"08/20/1964",0.0856
"08/21/1964",0.0863
"08/24/1964",0.0874
"08/25/1964",0.0873
"08/26/1964",0.0873
"08/27/1964",0.0865
"08/28/1964",0.0876
"08/31/1964",0.0881
"09/01/1964",0.0885
"09/02/1964",0.089
"09/03/1964",0.0895
"09/04/1964",0.0911
"09/08/1964",0.0896
"09/09/1964",0.0897
"09/10/1964",0.0895
"09/11/1964",0.0934
"09/14/1964",0.0929
"09/15/1964",0.0938
"09/16/1964",0.0943
"09/17/1964",0.0967
"09/18/1964",0.0975
"09/21/1964",0.0966
"09/22/1964",0.0981
"09/23/1964",0.0981
"09/24/1964",0.0988
"09/25/1964",0.0997
"09/28/1964",0.1007
"09/29/1964",0.1011
"09/30/1964",0.0992
"10/01/1964",0.1017
"10/02/1964",0.1025
"10/05/1964",0.1029
"10/06/1964",0.1023
"10/07/1964",0.1041
"10/08/1964",0.1039
"10/09/1964",0.1035
"10/12/1964",0.1018
"10/13/1964",0.1017
"10/14/1964",0.1031
"10/15/1964",0.1036
"10/16/1964",0.104
"10/19/1964",0.1051
"10/20/1964",0.1069
"10/21/1964",0.1085
"10/22/1964",0.1085
"10/23/1964",0.1075
"10/26/1964",0.1087
"10/27/1964",0.1077
"10/28/1964",0.1058
"10/29/1964",0.1045
"10/30/1964",0.1072
"11/02/1964",0.1082
"11/04/1964",0.1094
"11/05/1964",0.111
"11/06/1964",0.1113
"11/09/1964",0.1117
"11/10/1964",0.1119
"11/11/1964",0.1128
"11/12/1964",0.1136
"11/13/1964",0.1133
"11/16/1964",0.1159
"11/17/1964",0.1183
"11/18/1964",0.1194
"11/19/1964",0.1215
"11/20/1964",0.1219
"11/23/1964",0.1223
"11/24/1964",0.1232
"11/25/1964",0.1224
"11/27/1964",0.1211
"11/30/1964",0.1195
"12/01/1964",0.1175
"12/02/1964",0.1194
"12/03/1964",0.1198
"12/04/1964",0.1203
"12/07/1964",0.12
"12/08/1964",0.1175
"12/09/1964",0.1178
"12/10/1964",0.1152
"12/11/1964",0.1164
"12/14/1964",0.1173
"12/15/1964",0.1154
"12/16/1964",0.1146
"12/17/1964",0.1148
"12/18/1964",0.1144
"12/21/1964",0.1161
"12/22/1964",0.1166
"12/23/1964",0.1158
"12/24/1964",0.1157
"12/28/1964",0.1141
"12/29/1964",0.1087
"12/30/1964",0.1092
"12/31/1964",0.1094
"01/04/1965",0.105
"01/05/1965",0.1071
"01/06/1965",0.1071
"01/07/1965",0.1083
"01/08/1965",0.1086
"01/11/1965",0.1097
"01/12/1965",0.1128
"01/13/1965",0.113
"01/14/1965",0.1143
"01/15/1965",0.1151
"01/18/1965",0.1186
"01/19/1965",0.1175
"01/20/1965",0.1161
"01/21/1965",0.1167
"01/22/1965",0.119
"01/25/1965",0.117
"01/26/1965",0.1175
"01/27/1965",0.121
"01/28/1965",0.121
"01/29/1965",0.1195
"02/01/1965",0.1189
"02/02/1965",0.1192
"02/03/1965",0.12
"02/04/1965",0.1208
"02/05/1965",0.1208
"02/08/1965",0.1214
"02/09/1965",0.118
"02/10/1965",0.1191
"02/11/1965",0.1195
"02/12/1965",0.118
